AnimalName,LicenseIssuedYear,Count
'RUSTY,2016,1
'RUSTY,2017,1
'RUSTY,2018,1
(LEELA)LILA,2016,1
(LEELA)LILA,2017,1
(LEELA)LILA,2018,1
-ROY-,2017,1
.,2019,39
.,2020,128
.,2021,104
.,2022,49
.,2023,92
...,2021,2
.CHAPO,2023,1
.ISSA,2021,1
.MARSHMELLOW,2022,1
.MARSHMELLOW,2023,1
.S,2021,1
0HSO,2016,1
2,2016,1
2,2017,1
2,2018,1
2,2020,1
3010271,2016,1
40804,2016,1
90201,2016,1
90201,2018,1
A,2015,1
A,2017,3
A,2018,1
A,2019,32
A,2020,127
A,2021,166
A,2022,78
A,2023,45
A-JAX,2019,1
A-JAY,2021,2
A-ROD,2019,2
A-ROD,2021,1
A-ROD,2022,1
A.,2015,1
A.J,2016,1
A.J,2017,1
A.J,2019,2
A.J.,2014,1
A.J.,2015,1
A.J.,2016,1
A.J.,2017,1
A.J.,2018,1
A.J.,2019,1
A.J.,2022,1
AAJ,2021,1
AAJ,2022,1
AALIYAH,2015,2
AALIYAH,2016,3
AALIYAH,2017,2
AALIYAH,2018,4
AALIYAH,2019,3
AALIYAH,2020,2
AALIYAH,2021,4
AALIYAH,2022,1
AALIYAH,2023,3
AALSKA,2015,1
AALSKA,2019,2
AALTO,2018,1
AALTO,2019,1
AAMINA,2018,1
AAMINA,2019,1
AANG,2017,1
AANG,2019,1
AANG,2020,2
AANYA,2021,1
AANYA,2022,1
AARAV,2015,1
AARON,2016,6
AARON,2017,2
AARON,2018,4
AARON,2019,7
AARON,2020,6
AARON,2021,8
AARON,2022,1
AARON,2023,2
AASHA,2019,1
AASHA,2020,1
AASHA,2021,1
AASHA,2023,1
AB,2022,2
ABA,2021,1
ABACA,2015,1
ABACO,2016,1
ABACUS,2017,1
ABADDON,2023,1
ABAGAIL,2015,1
ABALEEN,2017,1
ABALONE,2020,3
ABALONE,2021,1
ABALONE,2022,1
ABALONE,2023,1
ABANO,2018,1
ABANO,2019,1
ABANO,2020,2
ABBA,2020,1
ABBA,2021,1
ABBA,2023,1
ABBERANNUPTOTHEMOUNTAIN-MILLIE,2022,1
ABBEY,2014,1
ABBEY,2015,11
ABBEY,2016,20
ABBEY,2017,13
ABBEY,2018,12
ABBEY,2019,10
ABBEY,2020,13
ABBEY,2021,14
ABBEY,2022,3
ABBEY,2023,9
ABBEYROAD,2016,1
ABBEYROAD,2017,1
ABBEYROAD,2018,1
ABBEYROAD,2019,1
ABBEYROAD,2020,2
ABBI,2015,2
ABBI,2016,1
ABBI,2017,4
ABBI,2018,1
ABBI,2019,3
ABBI,2020,4
ABBIE,2015,5
ABBIE,2016,10
ABBIE,2017,9
ABBIE,2018,10
ABBIE,2019,8
ABBIE,2020,17
ABBIE,2021,10
ABBIE,2022,6
ABBIE,2023,7
ABBOT,2019,1
ABBOT,2020,2
ABBOT,2023,1
ABBOTT,2015,2
ABBOTT,2016,3
ABBOTT,2017,2
ABBOTT,2018,2
ABBOTT,2019,2
ABBOTT,2020,3
ABBOTT,2021,4
ABBOTT,2022,1
ABBOTT,2023,1
ABBY,2014,1
ABBY,2015,41
ABBY,2016,113
ABBY,2017,117
ABBY,2018,94
ABBY,2019,95
ABBY,2020,119
ABBY,2021,101
ABBY,2022,47
ABBY,2023,58
ABBYDON,2016,1
ABDALLA,2016,1
ABDELSAID,2017,1
ABDOELRAHAM,2017,1
ABDUKADYROVA,2018,1
ABDUKADYROVA,2019,1
ABDULMUTAALI,2022,1
ABE,2015,4
ABE,2016,3
ABE,2017,4
ABE,2018,2
ABE,2019,8
ABE,2020,9
ABE,2021,6
ABE,2022,3
ABE,2023,4
ABED,2023,1
ABEDNEGO,2022,1
ABEDNEGO,2023,1
ABEDRABBO,2017,1
ABEIJON,2019,1
ABEJA,2015,1
ABEL,2015,1
ABEL,2016,3
ABEL,2017,3
ABEL,2018,2
ABEL,2019,2
ABEL,2020,6
ABEL,2021,2
ABEL,2022,1
ABEL,2023,2
ABELLA,2021,2
ABELLA,2022,1
ABELLA,2023,1
ABENANTE,2021,1
ABERCROMBIE,2015,1
ABEY,2017,1
ABHAYA,2016,1
ABI,2015,1
ABI,2016,3
ABI,2018,2
ABI,2021,3
ABI,2022,2
ABI,2023,1
ABIDIN,2020,2
ABIELA,2017,1
ABIERA,2023,1
ABIGAEL,2016,1
ABIGAIL,2015,8
ABIGAIL,2016,34
ABIGAIL,2017,34
ABIGAIL,2018,30
ABIGAIL,2019,26
ABIGAIL,2020,30
ABIGAIL,2021,19
ABIGAIL,2022,6
ABIGAIL,2023,7
ABIGALE,2016,1
ABIGALE,2017,2
ABIGALE,2018,2
ABIGALE,2022,1
ABIGALE,2023,1
ABIGEAL,2023,1
ABIGIAL,2015,1
ABIGIAL,2017,1
ABIGIAL,2018,1
ABIGIAL,2019,1
ABIGIAL,2020,1
ABIGIAL,2021,1
ABILENE,2022,1
ABILGAIL,2016,1
ABILGAIL,2017,1
ABILGAIL,2018,1
ABILGAIL,2019,1
ABILGAIL,2020,1
ABILGAIL,2021,1
ABILGAIL,2022,1
ABIR,2017,1
ABITA,2015,1
ABITA,2017,1
ABITA,2019,1
ABLE,2017,1
ABLE,2020,3
ABLE,2021,1
ABNER,2015,2
ABNER,2018,1
ABNER,2019,2
ABNER,2023,1
ABNEY,2019,1
ABO,2019,2
ABO,2020,1
ABO,2021,2
ABO,2022,1
ABOKAIR,2021,1
ABOKAIR,2023,1
ABOMINABLE,2019,1
ABOMINABLE,2020,3
ABOU,2020,2
ABOUHEGAB,2019,1
ABOUSHAHLA,2018,1
ABOUSHAHLA,2019,1
ABOUSHAHLA,2020,2
ABRA,2019,1
ABRAHAM,2015,2
ABRAHAM,2016,6
ABRAHAM,2017,6
ABRAHAM,2018,4
ABRAHAM,2019,9
ABRAHAM,2020,8
ABRAHAM,2021,11
ABRAHAM,2022,2
ABRAHAM,2023,4
ABRAMOV,2020,2
ABRAMOV,2023,1
ABRAMS,2022,1
ABREE,2015,1
ABREGO,2018,1
ABREU,2016,1
ABREU,2017,1
ABREU,2019,2
ABREU,2021,2
ABREU,2022,3
ABRIK,2016,1
ABRIK,2018,1
ABRIK,2020,2
ABRIL,2016,1
ABRIL,2017,2
ABRIL,2018,1
ABRIL,2019,3
ABRIL,2020,2
ABS,2021,1
ABSOLUT,2016,1
ABSOLUT,2017,1
ABSOLUT,2018,1
ABSOLUT,2019,1
ABSOLUT,2020,1
ABSOLUT,2021,1
ABU,2015,2
ABU,2016,2
ABU,2017,7
ABU,2018,5
ABU,2019,4
ABU,2020,3
ABU,2021,2
ABU,2022,2
ABUELA,2015,1
ABUGHAZEH,2016,1
ABUJA,2016,1
ABUJA,2017,1
ABUJA,2018,1
ABUJA,2019,1
ABUJA,2020,2
ABULI,2016,1
ABYSS,2019,1
AC,2020,2
ACADEMY,2021,1
ACADIA,2022,2
ACAI,2017,1
ACAI,2021,2
ACAMPO,2021,2
ACCEL,2016,1
ACCEL,2017,1
ACCURA,2014,1
ACE,2014,2
ACE,2015,49
ACE,2016,94
ACE,2017,102
ACE,2018,109
ACE,2019,131
ACE,2020,144
ACE,2021,150
ACE,2022,82
ACE,2023,101
ACE-DAVE,2016,1
ACE-DAVE,2017,1
ACE-DAVE,2018,1
ACE-DAVE,2019,1
ACE-DAVE,2020,2
ACENTIA,2017,1
ACER,2016,1
ACER,2017,1
ACER,2018,1
ACER,2021,2
ACES,2019,1
ACETO,2018,1
ACETO,2022,1
ACEVEDO,2018,1
ACEVEDO,2019,3
ACEVEDO,2020,3
ACEVEDO,2021,4
ACEVEDO,2022,2
ACEVEDO,2023,1
ACHACHAIRU,2020,2
ACHAHBAR,2016,1
ACHAK,2016,1
ACHAK,2018,1
ACHAK,2019,1
ACHELOUS,2016,1
ACHI,2016,1
ACHI,2017,1
ACHILEAS,2018,1
ACHILEAS,2019,1
ACHILEAS,2020,1
ACHILEAS,2021,1
ACHILEAS,2022,1
ACHILES,2016,1
ACHILLES,2015,12
ACHILLES,2016,21
ACHILLES,2017,25
ACHILLES,2018,24
ACHILLES,2019,14
ACHILLES,2020,14
ACHILLES,2021,18
ACHILLES,2022,5
ACHILLES,2023,9
ACHILLIES,2015,2
ACHILLIES,2016,1
ACHILLIES,2017,2
ACHIM,2020,2
ACHIMEDES,2018,1
ACHOO,2016,1
ACHOO,2020,1
ACHOW,2017,1
ACHOW,2019,1
ACIK,2022,1
ACKBERSINGH,2019,1
ACKEE,2018,1
ACKEES,2018,1
ACKEES,2023,1
ACKIAM,2023,1
ACKLEY,2016,1
ACORN,2018,1
ACORN,2019,1
ACORN,2020,3
ACORN,2021,2
ACORN,2022,3
ACOSTA,2017,2
ACOSTA,2019,2
ACOSTA,2020,6
ACOSTA,2021,2
ACOSTA,2022,1
ACTA,2021,1
ACTA,2022,1
ACTION,2016,1
ACTION,2017,1
ACTION,2018,1
ACTION,2023,1
ACTIVE,2018,1
ACTIVE,2020,1
ACTS,2021,2
ACUNA,2021,1
ACUNA,2023,1
ADA,2015,5
ADA,2016,2
ADA,2018,7
ADA,2019,5
ADA,2020,7
ADA,2021,10
ADA,2022,5
ADA,2023,6
ADAGIO,2016,1
ADAGIO,2017,1
ADAGIO,2020,1
ADAGIO,2021,2
ADAIDAI,2021,1
ADAIR,2022,1
ADALAIDE,2019,1
ADALIA,2023,1
ADALYN,2014,1
ADALYN,2015,1
ADALYN,2018,1
ADAM,2015,4
ADAM,2016,2
ADAM,2017,4
ADAM,2018,6
ADAM,2019,6
ADAM,2020,10
ADAM,2021,6
ADAM,2022,3
ADAM,2023,8
ADAMA,2014,1
ADAMES,2021,1
ADAMES,2022,1
ADAMES,2023,1
ADAMS,2017,1
ADAMS,2019,1
ADAMS,2020,5
ADAMS,2021,1
ADAMS,2022,1
ADAR,2016,1
ADAR,2017,1
ADAR,2018,1
ADDA,2017,1
ADDA,2018,1
ADDA,2019,1
ADDA,2020,2
ADDA,2022,1
ADDER,2016,1
ADDEY,2016,1
ADDEY,2017,1
ADDEY,2018,1
ADDI,2019,1
ADDI,2023,1
ADDIE,2015,1
ADDIE,2016,17
ADDIE,2017,14
ADDIE,2018,13
ADDIE,2019,17
ADDIE,2020,15
ADDIE,2021,12
ADDIE,2022,5
ADDIE,2023,6
ADDINGTON,2016,1
ADDIS,2020,1
ADDIS,2021,2
ADDIS,2022,1
ADDISON,2014,1
ADDISON,2015,3
ADDISON,2016,7
ADDISON,2017,4
ADDISON,2018,4
ADDISON,2019,4
ADDISON,2020,6
ADDISON,2021,4
ADDISON,2022,3
ADDISON,2023,3
ADDO,2021,2
ADDO,2023,1
ADDY,2015,4
ADDY,2017,3
ADDY,2018,4
ADDY,2019,3
ADDY,2020,7
ADDY,2021,10
ADDY,2022,2
ADDY,2023,2
ADEBISI,2016,1
ADEC,2023,1
ADEL,2016,1
ADELA,2016,1
ADELA,2018,1
ADELA,2019,1
ADELA,2021,1
ADELA,2022,1
ADELAIDE,2015,4
ADELAIDE,2016,4
ADELAIDE,2017,5
ADELAIDE,2018,4
ADELAIDE,2019,4
ADELAIDE,2020,8
ADELAIDE,2021,3
ADELAIDE,2022,1
ADELAIDE,2023,4
ADELE,2015,1
ADELE,2016,2
ADELE,2017,3
ADELE,2018,5
ADELE,2019,5
ADELE,2020,3
ADELE,2021,3
ADELE,2022,1
ADELE,2023,4
ADELIKY,2023,1
ADELINE,2014,1
ADELINE,2015,2
ADELINE,2016,2
ADELINE,2017,4
ADELINE,2018,1
ADELINE,2019,2
ADELINE,2020,3
ADELINE,2021,1
ADELINE,2022,1
ADELLA,2016,1
ADELLA,2017,1
ADELLA,2018,1
ADELLA,2020,1
ADELLA,2021,1
ADELLINE,2016,1
ADELLINE,2017,1
ADELLINE,2018,1
ADELLINE,2019,1
ADELLINE,2020,1
ADELLINE,2021,1
ADELLINE,2023,1
ADELYN,2019,1
ADEN,2017,1
ADEN,2018,1
ADEN,2020,1
